"time_arcid","logppt"
141781,0.0083690811
141782,0.0051221925
141783,0.0070252182
141784,0.0051595794
141785,0.0051462864
141786,0.0051221925
141787,0.0051221925
141788,0.0051221925
141789,0.0051221925
141790,0.0051221925
141791,0.0003688308
141792,-0.0048253095
141793,-0.0048253095
141794,-0.0014668929
141795,-0.0048253095
141796,0.0258760494
141797,0.0487171242
141798,0.0529562835
141799,0.032416974
141800,0.0487171242
141801,0.0529562835
141802,0.0036575073
141803,0.0487171242
141804,0.0529562835
141805,0.0383980257
141806,0.0487117233
141807,0.0529562835
141808,0.0523601712
141809,0.0425174679
141810,0.0529562835
141811,0.0515742156
141812,0.0415690092
141813,0.0529562835
141814,0.0477281655
141815,0.0529562835
141816,0.0529562835
141817,0.0416271006
141818,0.0342565569
141819,0.0344580066
141820,0.0332592183
141821,0.0342565569
141822,0.0342565569
141823,0.0342565569
141824,0.035252415
141825,0.0302868162
141826,0.0303119973
141827,0.0290988729
141828,0.0302868162
141829,0.0341915589
141830,0.0307106514
141831,0.0326623059
141832,0.0300030255
141833,0.0234783171
141834,0.0234783171
141835,0.0246009258
141836,0.0341915589
141837,0.0340367256
141838,0.0314495991
141839,0.0302868162
141840,0.0315863802
141841,0.0302868162
141842,0.0302868162
141843,0.0302868162
141844,0.0302868162
141845,0.0302868162
141846,0.0302868162
141847,0.0302868162
141848,0.0302868162
141849,0.0302868162
141850,0.0302868162
141851,0.0302868162
141852,0.0569260116
141853,0.0302868162
141854,0.0498665034
141855,0.0472580991
141856,0.0302868162
141857,0.0437495418
141858,0.0313881345
141859,0.0302868162
141860,0.0302868162
141861,0.2014464879
141862,0.0314600589
141863,0.0302868162
141864,0.0302868162
141865,0.0310691475
141866,0.0314600589
141867,0.030469617
141868,0.0314600589
141869,0.2014464879
141870,0.0314600589
141871,0.0314600589
141872,0.0313745895
141873,0.0303013098
141874,0.0285555384
141875,0.0335489355
141876,0.0143968374
141877,0.0143968374
141878,0.0143968374
141879,0.0197401446
141880,0.0314600589
141881,0.0314600589
141882,0.0234921852
141883,0.0226733787
141884,0.0314600589
141885,0.0314600589
141886,0.0314600589
141887,0.0475012224
141888,0.0485618409
141889,0.0753612372
141890,0.1062624195
141891,0.1063154907
141892,0.1067197059
141893,0.0798342651
141894,0.1179050796
141895,0.1177971399
141896,0.1175524155
141897,0.1093440465
141898,0.1101112272
141899,0.113179257
141900,0.11657655
141901,0.1093440465
141902,0.1093440465
141903,0.2014464879
141904,0.1093440465
141905,0.0946814625
141906,0.1093440465
141907,0.2014464879
141908,0.0663577614
141909,0.0850350186
141910,0.0633664017
141911,0.0619762806
141912,0.0546895017
141913,0.1159339356
141914,0.1022463846
141915,0.0615762909
141916,0.0676933182
141917,0.0626756004
141918,0.0636711129
141919,0.072054081
141920,0.072054081
141921,0.072054081
141922,0.072054081
141923,0.072054081
141924,0.072054081
141925,0.0615790638
141926,0.0638362377
141927,0.0091509489
141928,0.0407908485
141929,0.083557278
141930,-0.0375925752
141931,0.0407908485
141932,0.0671364765
141933,0.102839382
141934,-0.0375925752
141935,0.0407908485
141936,0.1041460218
141937,-0.0375925752
141938,0.0032372109
141939,0.0407908485
141940,0.1467602037
141941,-0.0375925752
141942,0.0407908485
141943,0.1007481726
141944,0.1156741299
141945,0.1428880374
141946,-0.0375925752
141947,0.0407908485
141948,0.0904830165
141949,0.1759878981
141950,0.1651445271
141951,-0.0375925752
141952,-0.0375925752
141953,0.1447208532
141954,0.1759878981
141955,-0.0375925752
141956,-0.0375925752
141957,0.1579180608
141958,0.1623121767
141959,-0.0242634141
141960,-0.0122892939
141961,0.1579180608
141962,0.0063956205
141963,0.120784482
141964,0.0063956205
141965,0.0866904129
141966,0.0265616433
141967,0.0311342877
141968,0.0063956205
141969,0.0407908485
141970,0.0265616433
141971,0.0265616433
141972,0.027742806
141973,0.0397011807
141974,0.0063956205
141975,0.0407908485
141976,0.0295310889
141977,0.032945868
141978,0.0397975122
141979,0.0296192016
141980,-0.0022627179
141981,0.0407908485
141982,0.0181888812
141983,0.0381999861
141984,-0.017390457
141985,0.0407908485
141986,0.0066790548
141987,0.0370692099
141988,-0.017390457
141989,0.0406729395
141990,0.0297866097
141991,-0.0257500719
141992,-0.0024012324
141993,-0.0155358
141994,0.0346135689
141995,0.1035465597
141996,0.0112271076
141997,0.0250068276
141998,-0.0211014
141999,-0.0001589697
142000,0.0367123158
142001,0.0839633256
142002,0.0082689399
142003,-0.0030603942
142004,0.054476271
142005,0.0792528768
142006,0.0082689399
142007,0.0381428226
142008,0.0723983112
142009,0.0774237447
142010,0.0176368851
142011,0.0082689399
142012,0.0346135689
142013,0.0774237447
142014,0.0602719731
142015,0.0761604012
142016,0.0082689399
142017,0.0082689399
142018,0.0346135689
142019,0.0996249564
142020,0.0602719731
142021,0.0082689399
142022,0.0082689399
142023,0.0540851922
142024,0.0602719731
142025,0.0082689399
142026,0.0082689399
142027,0.0602719731
142028,0.0478412028
142029,0.059881626
142030,0.0082689399
142031,0.0602719731
142032,0.0602719731
142033,0.0082689399
142034,0.0332378577
142035,0.0082689399
142036,0.0346135689
142037,0.0082689399
142038,0.0191128842
142039,0.0082689399
142040,0.0082689399
142041,0.0082689399
142042,0.0082689399
142043,-0.0337327488
142044,-0.0092440395
142045,0.0082689399
142046,-0.0278805681
142047,-0.0092440395
142048,0.0082689399
142049,-0.0092440395
142050,0.008863092
142051,-0.0092440395
142052,-0.0092440395
142053,0.0109900332
142054,-0.0144039276
142055,-0.0092440395
142056,0.0241657551
142057,0.0046439919
142058,-0.009230202
142059,0.0336206439
142060,-0.005971896
142061,0.0078782445
142062,-0.0001624104
142063,0.0013920858
142064,0.0057213819
142065,-0.0388112256
142066,-0.0021728061
142067,-0.0010912302
142068,0.0013920858
142069,0.0013920858
142070,0.107680878
142071,0.0013920858
142072,-0.0190119168
142073,0.1357628166
142074,0.1316745891
142075,0.1052795394
142076,0.002630214
142077,0.1123680753
142078,0.1172539746
142079,0.0013920858
142080,0.1172539746
142081,0.1172539746
142082,0.0169864173
142083,-0.0422073324
142084,0.1154631537
142085,-0.0169435602
142086,-0.0390222243
142087,0.1172539746
142088,-0.0169435602
142089,0.0155577843
142090,0.1172539746
142091,-0.0655301484
142092,-0.0169435602
142093,0.0433014948
142094,0.0301354974
142095,0.0062203176
142096,0.0112545522
142097,0.0155577843
142098,0.0155577843
142099,0.2014464879
142100,-0.0198091809
142101,-0.0188701578
142102,-0.0329750964
142103,-0.0328112469
142104,-0.0169435602
142105,0.039886866
142106,0.0294985917
142107,-0.0083892852
142108,0.1115463609
142109,-0.0279021159
142110,-0.0739583496
142111,-0.0169435602
142112,0.0412920351
142113,0.0302216301
142114,0.0302216301
142115,0.0155577843
142116,0.1165632588
142117,0.1424813328
142118,-0.0768722184
142119,-0.0768722184
142120,0.2014464879
142121,0.0274021974
142122,0.0353125377
142123,0.0302216301
142124,0.0302216301
142125,0.0155577843
142126,0.1232029071
142127,0.1175270157
142128,0.1929983652
142129,-0.0768722184
142130,0.2014464879
142131,-0.0169435602
142132,0.0174692808
142133,0.0074786913
142134,0.0433014948
142135,-0.0340595001
142136,0.0433014948
142137,0.0433014948
142138,0.0206480736
142139,0.0289763775
142140,0.0092632023
142141,0.1172539746
142142,0.1759350105
142143,0.1971493065
142144,-0.0768722184
142145,-0.012868272
142146,-0.034445925
142147,-0.0169435602
142148,-0.0070604307
142149,0.0281549052
142150,0.0433014948
142151,-0.0333128025
142152,-0.0333128025
142153,0.0433014948
142154,0.0403622775
142155,0.0206480736
142156,0.03623706
142157,0.0357827886
142158,0.0302216301
142159,0.0302216301
142160,0.0275370678
142161,0.0155577843
142162,0.1499773383
142163,0.168773886
142164,0.196188759
142165,-0.0747230922
142166,-0.0286072668
142167,-0.0333128025
142168,-0.0179989047
142169,0.0197824302
142170,-0.0333128025
142171,-0.0333128025
142172,0.0303068682
142173,0.0268639371
142174,0.026363232
142175,0.0206480736
142176,0.0372789576
142177,0.0373957011
142178,0.0302216301
142179,0.0300833343
142180,0.0155577843
142181,0.1585121922
142182,0.1585121922
142183,0.1681046559
142184,-0.0492553593
142185,-0.025926219
142186,0.0119388393
142187,-0.0280763424
142188,0.0220435596
142189,0.0206480736
142190,0.0387902898
142191,0.038758941
142192,0.0140348304
142193,0.0155577843
142194,0.182099295
142195,0.1584727614
142196,-0.0012841848
142197,-0.0363182661
142198,0.0240790473
142199,0.0134529759
142200,0.0251196948
142201,-0.0174525579
142202,0.0143097102
142203,0.0306693234
142204,0.0317352051
142205,0.0190623663
142206,0.0128686941
142207,0.1185080184
142208,0.0155577843
142209,0.1562914827
142210,-0.0114367545
142211,-0.0011706993
142212,-0.0192540132
142213,-0.0164293218
142214,-0.0355202712
142215,0.0081994194
142216,-0.0044862804
142217,-0.0003268485
142218,0.0165323601
142219,0.0375461946
142220,0.0252180783
142221,0.0305069922
142222,0.0845638461
142223,-0.011535381
142224,0.1653476229
142225,0.1607418351
142226,0.1355352039
142227,0.1473990777
142228,-0.0416083662
142229,-0.0011706993
142230,-0.0011706993
142231,-0.021958821
142232,-0.0047342763
142233,-0.0001231542
142234,0.0046869066
142235,0.0355301973
142236,0.0252180783
142237,0.0724860081
142238,0.0357537312
142239,0.0559353933
142240,0.0888583437
142241,0.0155577843
142242,0.1943553996
142243,0.120829284
142244,0.1521440982
142245,-0.0344885742
142246,-0.0418141197
142247,-0.0099903798
142248,-0.0390597147
142249,-0.0087371298
142250,-0.0019565433
142251,-0.0003268485
142252,0.0110085606
142253,0.0252180783
142254,0.065367297
142255,0.0939616911
142256,0.049701096
142257,0.0379442664
142258,0.0868461552
142259,0.2014464879
142260,0.1441186281
142261,0.120829284
142262,-0.0505253709
142263,-0.0574962201
142264,-0.0768722184
142265,-0.0178700733
142266,0.1103959944
142267,0.1580954679
142268,0.2014464879
142269,0.0317255679
142270,0.0011962314
142271,0.0252180783
142272,0.0546596496
142273,0.0375128163
142274,0.0711640035
142275,0.0155577843
142276,0.120829284
142277,-0.0424866528
142278,-0.0779308038
142279,-0.064283049
142280,-0.0043369416
142281,-0.040465161
142282,0.1089855792
142283,0.1089855792
142284,-0.0170668161
142285,-0.0048337596
142286,0.0404595414
142287,0.0571566384
142288,0.0652605858
142289,0.0155577843
142290,0.1199322045
142291,0.0294893505
142292,-0.051019065
142293,-0.0562146768
142294,-0.0376970454
142295,-0.0379291644
142296,0.0880710723
142297,0.1039355451
142298,-0.0240631821
142299,-0.0083503584
142300,0.0470316744
142301,0.0629662077
142302,0.0155577843
142303,0.1069533162
142304,0.0211754079
142305,-0.082478583
142306,-0.0825099579
142307,-0.0502132122
142308,-0.0441519741
142309,-0.0381897783
142310,-0.0377215929
142311,0.0409520511
142312,0.0206727597
142313,0.0627598737
142314,0.0602459127
142315,0.0129403899
142316,0.0547830711
142317,0.0212690826
142318,-0.07412184
142319,-0.0388444626
142320,-0.0378035784
142321,-0.0555911856
142322,-0.0769068648
142323,0.0433792485
142324,0.0560987442
142325,0.0617159547
142326,0.0308417535
142327,0.0155577843
142328,0.0426783465
142329,0.0289641546
142330,-0.0520195113
142331,-0.0548554302
142332,-0.0378159093
142333,-0.042507954
142334,-0.0389941596
142335,-0.0311633136
142336,0.04886523
142337,0.0462376845
142338,0.0148179006
142339,-0.0179499735
142340,-0.0078293421
142341,0.009215523
142342,-0.0071067492
142343,0.0325015371
142344,-0.0520195113
142345,-0.0520195113
142346,-0.0316401039
142347,-0.0313028091
142348,-0.0306568683
142349,-0.0306568683
142350,-0.0306568683
142351,-0.0232508007
142352,-0.0243982062
142353,0.0231169149
142354,0.027131706
142355,0.0127025856
142356,0.0204528897
142357,0.0155577843
142358,0.0325015371
142359,0.0325015371
142360,-0.0356752188
142361,-0.0299578914
142362,-0.0284467905
142363,-0.0300331116
142364,0.0181762758
142365,0.0047937474
142366,0.0127025856
142367,-0.0014194422
142368,0.0077505471
142369,-0.0254374209
142370,-0.0250562538
142371,0.0127025856
142372,0.0127025856
142373,0.0069842493
142374,0.0325015371
142375,0.026371863
142376,-0.0232287777
142377,-0.0048832938
142378,0.0066905217
142379,0.0115462989
142380,0.0109467774
142381,-0.021620961
142382,0.0070043634
142383,-0.0547338888
142384,0.0290415501
142385,-0.0009286857
142386,-0.02042136
142387,-0.0159015393
142388,0.0065294847
142389,-0.0533394198
142390,-0.0311454693
142391,-0.0205193151
142392,0.0065294847
142393,-0.0509839371
142394,-0.0443773863
142395,0.0158018031
142396,0.0106730496
142397,-0.0509839371
142398,-0.0509839371
142399,0.0278080542
