waterid,demtarea,rchname,station_id,station_name,staid,sitedata.demtarea.class,standardResids,Resids,leverage,leverageCrit,CooksD,CooksDpvalue,weight,tiareakm2,residCheck
203,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,2,49,-4.78360170032004,-3.33398245135714,0.0186694466812368,0.03125,0.0310955407461386,0.999999998911984,NA,49.059,4.78360170032004
744,48.393,NA,NA,Delaney Creek at US 41,9,49,1.836888811088,1.27169826224803,0.0317195958249368,0.03125,0.00789521941485037,0.999999999999956,NA,48.393,1.836888811088
888,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,10,310,-0.850963220987377,-0.583793014517401,0.0491873905343183,0.03125,0.00267579227178489,1,NA,310.203,0.850963220987377
6448,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,51,310,0.662035261398571,0.454067710343663,0.0496628197475756,0.03125,0.00163601718380035,1,NA,310.203,0.662035261398571
8543,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,67,49,-3.7120281992494,-2.59497298866629,0.0127165104524926,0.03125,0.012677119264455,0.99999999999853,NA,49.059,3.7120281992494
9228,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,76,310,0.146150646287241,0.100999876639182,0.0351963650957189,0.03125,5.56586063469453e-05,1,NA,310.203,0.146150646287241
11323,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,92,49,-5.31462285974905,-3.72237009952907,0.00895602808379168,0.03125,0.0182322131411252,0.999999999978374,NA,49.059,5.31462285974905
12008,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,101,310,0.412586495804859,0.283920407293065,0.0433305070255366,0.03125,0.000550723778674059,1,NA,310.203,0.412586495804859
17199,254.7864,NA,NA,BLACKWATER CREEK NEAR KNIGHTS FL,143,291,-0.0476868787457416,-0.0329706362296474,0.0342703057769508,0.03125,5.76410858303822e-06,1,NA,254.7864,0.0476868787457416
17283,438.2406,NA,NA,Cypress Creek at SR 581,149,473,-0.620761885825309,-0.429542115816956,0.0327023311873868,0.03125,0.000930551949464228,1,NA,438.2406,0.620761885825309
19981,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,170,171,3.77855851909159,2.64267335561492,0.0118260714018395,0.03125,0.0122048198890673,0.99999999999889,NA,171.3213,3.77855851909159
25623,438.2406,NA,NA,Cypress Creek at SR 581,227,473,1.6458553715581,1.13831351870011,0.0336394919981975,0.03125,0.00673543358400499,0.999999999999987,NA,438.2406,1.6458553715581
28688,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,255,310,1.1369018357941,0.784522018086989,0.0380266010535539,0.03125,0.0036495754407609,1,NA,310.203,1.1369018357941
30782,49.3056,NA,NA,Brushy Creek at Gunn Hwy,270,49,1.12092040773782,0.772168156165266,0.0413215884692437,0.03125,0.00386834835978558,1,NA,49.3056,1.12092040773782
39439,254.7864,NA,NA,BLACKWATER CREEK NEAR KNIGHTS FL,347,291,3.02778196933685,2.11297913656739,0.0161249541595635,0.03125,0.0107319762811215,0.999999999999573,NA,254.7864,3.02778196933685
39441,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,348,171,5.5585866263996,3.86428171480244,0.0236455092267695,0.03125,0.0534492805676333,0.999999945513914,NA,171.3213,5.5585866263996
39523,438.2406,NA,NA,Cypress Creek at SR 581,353,473,3.26850341620036,2.26645242768189,0.0286090484340055,0.03125,0.0224739396342323,0.999999999899079,NA,438.2406,3.26850341620036
42588,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,382,310,1.5441050168738,1.06806581434869,0.0334126964346041,0.03125,0.00588702758929474,0.999999999999995,NA,310.203,1.5441050168738
50243,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,450,49,-5.05079789334679,-3.53482960658182,0.010500199311267,0.03125,0.0193363178929643,0.999999999966635,NA,49.059,5.05079789334679
53708,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,484,310,0.363903114935562,0.250906206662405,0.0396047847679394,0.03125,0.000390068769425304,1,NA,310.203,0.363903114935562
55803,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,500,49,-3.88756915594042,-2.71826145289075,0.0123002992099335,0.03125,0.0134437049871934,0.999999999997728,NA,49.059,3.88756915594042
56488,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,509,310,-1.41436750256225,-0.975059963868656,0.0398549758321148,0.03125,0.00593119519904114,0.999999999999995,NA,310.203,1.41436750256225
58901,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,527,171,-1.7889465444353,-1.23713316141765,0.0338670495962393,0.03125,0.00801322174910629,0.999999999999951,NA,171.3213,1.7889465444353
64142,49.3056,NA,NA,Brushy Creek at Gunn Hwy,574,49,1.65790819409053,1.12876760133957,0.0635451577552915,0.03125,0.0133225863230922,0.999999999997875,NA,49.3056,1.65790819409053
64764,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,583,310,1.18510140279527,0.81598819125195,0.0422427505653513,0.03125,0.00442465822070951,1,NA,300.8259,1.18510140279527
64828,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,584,310,0.463910956387674,0.319039174309767,0.0445290422929766,0.03125,0.000716418986919302,1,NA,310.203,0.463910956387674
66923,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,600,49,-5.77287882127266,-4.04182298255644,0.00969625783331493,0.03125,0.0233073330501221,0.999999999868124,NA,49.059,5.77287882127266
