,FacWW_P,FacPmine,ManureP_Seas,FertP_Seas,Pmines_v17,GeolP,urban_Seas,logAirTemp,logPPT,PrevSurfSoMoi,PrevET,PrevEVIMean,lkfactup,rchtot
FacWW_P,1,0.0201806465229001,0.0617375812853036,0.0983392510153066,0.0316341839637046,4.1834649893997e-05,0.0692286750686004,-0.0196011694865341,-0.00609142033541116,-0.0511285213934244,-0.00779447088351442,0.0465060609956433,-0.128623044425581,0.205533322168216
FacPmine,0.0201806465229001,1,-0.0578169009224177,0.0893149573401454,-0.286790426052568,8.1663262694576e-05,0.0393497855000332,-0.0726966827789614,0.179425943249623,-0.0446564780684938,-0.00780262242261781,0.183052048250991,0.0870475588203653,0.178222526708351
ManureP_Seas,0.0617375812853036,-0.0578169009224177,1,0.0565185000276187,0.588721360187072,0.000437279374373966,-0.124939570977537,-0.0648363978321645,0.0130254376192924,0.183873839049323,-0.152943077612933,-0.44850639588316,-0.36781950693852,0.289768997344016
FertP_Seas,0.0983392510153066,0.0893149573401454,0.0565185000276187,1,0.270429273185077,0.00066621488262614,0.102790817401657,0.086529315246096,0.0444785658583322,0.364292559683767,0.0456275662692845,-0.411471577019156,0.275243450695432,0.662552083995285
Pmines_v17,0.0316341839637046,-0.286790426052568,0.588721360187072,0.270429273185077,1,0.000158206123383002,0.0902016400834315,-0.00133769154135393,-0.0381486595060844,0.177959707587982,-0.0448846719839275,-0.375306240576269,-0.619524068692463,0.488828696706146
GeolP,4.1834649893997e-05,8.1663262694576e-05,0.000437279374373966,0.00066621488262614,0.000158206123383002,1,0.000484334307286173,-8.79643867727358e-05,0.000149352166513288,0.00035696036996934,-4.74356927198625e-05,-0.000105444159902265,0.000246154432674706,0.000448074737857345
urban_Seas,0.0692286750686004,0.0393497855000332,-0.124939570977537,0.102790817401657,0.0902016400834315,0.000484334307286173,1,0.0884891468457519,-0.146703200915416,-0.475130641472946,0.595044745782879,-0.213627943223094,0.0862470958764459,0.384287693281741
logAirTemp,-0.0196011694865341,-0.0726966827789614,-0.0648363978321645,0.086529315246096,-0.00133769154135393,-8.79643867727358e-05,0.0884891468457519,1,-0.635809928225689,-0.0202397532873881,0.0408597420079358,-0.138272149043673,0.0421810263110753,-0.0615759516714735
logPPT,-0.00609142033541116,0.179425943249623,0.0130254376192924,0.0444785658583322,-0.0381486595060844,0.000149352166513288,-0.146703200915416,-0.635809928225689,1,0.337308069543302,0.0977988551963315,-0.0511318200171535,0.00251614085718122,-0.0140200332264095
PrevSurfSoMoi,-0.0511285213934244,-0.0446564780684938,0.183873839049323,0.364292559683767,0.177959707587982,0.00035696036996934,-0.475130641472946,-0.0202397532873881,0.337308069543302,1,0.0190334109210081,-0.371268123220437,0.0400781999174382,-0.0462812842633412
PrevET,-0.00779447088351442,-0.00780262242261781,-0.152943077612933,0.0456275662692845,-0.0448846719839275,-4.74356927198625e-05,0.595044745782879,0.0408597420079358,0.0977988551963315,0.0190334109210081,1,-0.381567643010492,0.0729599580097275,0.0197236932811266
PrevEVIMean,0.0465060609956433,0.183052048250991,-0.44850639588316,-0.411471577019156,-0.375306240576269,-0.000105444159902265,-0.213627943223094,-0.138272149043673,-0.0511318200171535,-0.371268123220437,-0.381567643010492,1,0.00491765883328381,-0.0491913269576066
lkfactup,-0.128623044425581,0.0870475588203653,-0.36781950693852,0.275243450695432,-0.619524068692463,0.000246154432674706,0.0862470958764459,0.0421810263110753,0.00251614085718122,0.0400781999174382,0.0729599580097275,0.00491765883328381,1,0.00722084001964231
rchtot,0.205533322168216,0.178222526708351,0.289768997344016,0.662552083995285,0.488828696706146,0.000448074737857345,0.384287693281741,-0.0615759516714735,-0.0140200332264095,-0.0462812842633412,0.0197236932811266,-0.0491913269576066,0.00722084001964231,1
