,FacWW_P,FacPmine,ManureP_Seas,FertP_Seas,Pmines_v17,GeolP,urban_Seas,logAirTemp,logPPT,PrevSurfSoMoi,PrevET,PrevEVIMean,lkfactup,rchtot
FacWW_P,0.0354804888133124,0.000296500907983234,6.80318975757434e-05,0.000182432162540881,3.96119998704552e-05,7.88008561561147e-06,0.020527150516134,-0.000745262619875472,-6.66669957021188e-05,-0.0013809387805084,-6.28865285052443e-05,0.00215752351751902,-0.0148566813572863,0.00277267746710738
FacPmine,0.000296500907983199,0.00608404348988721,-2.63826940077658e-05,6.86119974554479e-05,-0.000148708618794593,6.36975725632895e-06,0.00483154883837051,-0.00114457249868929,0.000813165437570436,-0.000499455751647,-2.60683132641369e-05,0.0035165915798083,0.00416352309303249,0.000995591236376285
ManureP_Seas,6.80318975757551e-05,-2.638269400777e-05,3.42244401759514e-05,3.25640577780912e-06,2.28956672983014e-05,2.55815685178873e-06,-0.00115057792236825,-7.6563118175098e-05,4.42749437562792e-06,0.000154242663274293,-3.83242960595811e-05,-0.000646231318180338,-0.00131950536717221,0.000121406631138702
FertP_Seas,0.000182432162540843,6.86119974554537e-05,3.25640577780917e-06,9.69972508898987e-05,1.77055225830288e-05,6.56136266353957e-06,0.00159360939723491,0.000172018650963321,2.54523570422402e-05,0.000514453835509418,1.92478932901724e-05,-0.000998092375743395,0.00166228288528316,0.000467328267153191
Pmines_v17,3.96119998704478e-05,-0.000148708618794594,2.28956672983014e-05,1.77055225830287e-05,4.41927138050185e-05,1.05171634815024e-06,0.000943925284767366,-1.7949976092361e-06,-1.47350677239959e-05,0.000169634199883943,-1.27805509655009e-05,-0.00061448644328516,-0.00252546727968987,0.000232731057466857
GeolP,7.88008561560893e-06,6.36975725632908e-06,2.55815685178873e-06,6.56136266353957e-06,1.05171634815024e-06,-3.64742861043743e-06,0.000762417897261639,-1.77557669916105e-05,8.67778818465379e-06,5.11842564160559e-05,-2.03180222725418e-06,-2.59701055816597e-05,0.00015094401146691,3.2090225808688e-05
urban_Seas,0.0205271505161324,0.00483154883837072,-0.00115057792236824,0.00159360939723492,0.000943925284767381,0.000762417897261641,2.47796803174492,0.0281170928649069,-0.013417912572715,-0.107245056961009,0.0401211764697338,-0.0828241701181612,0.0832531273981784,0.0433238097325415
logAirTemp,-0.000745262619875399,-0.0011445724986893,-7.65631181750971e-05,0.000172018650963322,-1.79499760923508e-06,-1.77557669916104e-05,0.028117092864907,0.0407441362470108,-0.00745688389789319,-0.000585806474659892,0.000353268051394062,-0.00687414129606129,0.00522105089620998,-0.000890155755320135
logPPT,-6.66669957021264e-05,0.00081316543757044,4.42749437562757e-06,2.54523570422395e-05,-1.47350677239963e-05,8.67778818465376e-06,-0.013417912572715,-0.00745688389789319,0.00337594246703184,0.00281022210008798,0.000243392658519604,-0.000731711623714356,8.96480185510545e-05,-5.83403291407946e-05
PrevSurfSoMoi,-0.00138093878050856,-0.000499455751646969,0.000154242663274292,0.000514453835509416,0.000169634199883942,5.11842564160558e-05,-0.10724505696101,-0.000585806474659906,0.00281022210008798,0.0205604582856704,0.000116898571517827,-0.0131115864333341,0.00352397508617502,-0.00047527405915173
PrevET,-6.28865285052608e-05,-2.60683132641315e-05,-3.83242960595809e-05,1.92478932901724e-05,-1.27805509655006e-05,-2.03180222725416e-06,0.0401211764697338,0.000353268051394059,0.000243392658519605,0.000116898571517825,0.0018346463866808,-0.00402530607326816,0.0019163242132331,6.05043694055508e-05
PrevEVIMean,0.00215752351751984,0.00351659157980813,-0.000646231318180339,-0.000998092375743391,-0.00061448644328516,-2.59701055816596e-05,-0.0828241701181609,-0.00687414129606125,-0.000731711623714381,-0.0131115864333341,-0.00402530607326816,0.0606599947570974,0.000742707495437277,-0.000867684892578947
lkfactup,-0.0148566813572858,0.00416352309303241,-0.00131950536717221,0.00166228288528316,-0.00252546727968987,0.000150944011466909,0.0832531273981786,0.00522105089621003,8.96480185510537e-05,0.00352397508617504,0.00191632421323313,0.000742707495437189,0.376024769290543,0.000317116079452481
rchtot,0.00277267746710717,0.000995591236376296,0.000121406631138703,0.000467328267153191,0.000232731057466857,3.20902258086881e-05,0.0433238097325414,-0.000890155755320145,-5.83403291407911e-05,-0.000475274059151715,6.05043694055489e-05,-0.000867684892578969,0.000317116079452522,0.00512914087545518
