waterid,origWaterid,demtarea,rchname,station_id,station_name,staid,sitedata.demtarea.class,Obs,predict,Obsyield,predictYield,Resids,standardResids,leverage,leverageCrit,CooksD,CooksDpvalue,boot_resid,weight,tiarea,pResids,ratio.obs.pred,pratio.obs.pred,xlat,xlon,FacWW_P_Jgradient,FacPmine_Jgradient,FertP_Seas_Jgradient,Pmines_v17_Jgradient,GeolP_Jgradient,urban_Seas_Jgradient,logAirTemp_Jgradient,logPPT_Jgradient,PrevSurfSoMoi_Jgradient,PrevET_Jgradient,PrevEVIMean_Jgradient,lkfactup_Jgradient,rchtot_Jgradient,huc8,huc4
202,145975,49.3056,NA,NA,Brushy Creek at Gunn Hwy,1,49,453.23576266,66.7806675979017,9.19237901293159,1.35442358673055,1.91499880603113,2.70808194501809,0.021384885163818,0.03125,0.0114469706949016,0.99999999999931,1.93580919285883,1,49.3056,1.91521433642664,6.78693069361051,6.78839364111636,28.06565,-82.55524,0,0,-6.06926115436532,0,-18.6341980394268,-0.0704382091140048,-0.0777650613768057,0.147056101176301,-0.202243868763142,-0.596896035491121,0.00326521053244369,0.0386017044684806,1.06138433508483,3100206,NA
203,145974,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,2,49,2.587228664,70.4675433286371,0.0527370852239141,1.43638360603838,-3.30456493655612,-4.66444952656817,0.0177403764517083,0.03125,0.0280678598426139,0.999999999485078,-3.33427291215013,1,49.059,-3.30443857470919,0.0367151817955967,0.0367198214869124,28.06585014,-82.56565243,0,0,-8.45563661030442,0,-14.3739715177687,-0.0543232912840951,-0.0775257247338835,0.114849723746826,-0.0325577573676255,-0.563871474948856,0.0221390956274138,0.0241009860164911,0.481361774023605,3100206,NA
519,145751,254.7864,NA,NA,BLACKWATER CREEK NEAR KNIGHTS FL,3,291,695.08075278,2182.21056414516,2.72809205193056,8.56486281899334,-1.14406563239647,-1.60818600940466,0.00956078412638698,0.03125,0.00178324168731357,1,-1.14957424628881,1,254.7864,-1.14396645026756,0.318521394864699,0.318552988061459,28.14056981,-82.1498072,-0.0825789774868875,0,-12.6389659314121,-3.41221569753134,-11.0097214213891,-0.00776068200401107,-0.0972738640820713,-0.025998830436085,0.254222598628078,-0.610932820563368,-0.101741335910455,-0.0479372831009585,1.28482231196739,3100205,NA
521,145733,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,4,171,49.169476171,357.913715352184,0.287001535541699,2.08913728387646,-1.98501891084152,-2.79608110603014,0.013656300031774,0.03125,0.00773172268652274,0.999999999999963,-1.99871333989336,1,171.3213,-1.98481291718918,0.137378016158497,0.137406318072704,28.18556681,-82.1839736,0,0,-11.0573613103445,0,-22.631080548779,-0.0264625318543343,-0.101245849147096,0.0522846249551124,0.347849912445602,-0.610927433196233,-0.10503776117522,-0.0120936373041654,1.52373274528759,3100205,NA
532,145743,291.0339,NA,NA,HillsboroughBlackwater Creek1501,5,291,627.01642034,1009.08817628367,2.15444462085001,3.4672530460667,-0.475829677281002,-0.666169977769569,0.00153822001311741,0.03125,4.88347635801661e-05,1,-0.476196065390583,1,36.2475,-1.3438888356062,0.621369306544858,0.260829371208517,28.146,-82.1711666,0,0,-5.3016468727669,0,-3.34434759959703,-0.00314307507105219,-0.0326235908452755,0.0161029000184768,0.136513353459412,-0.169241444886623,-0.0456578076575964,-0.0145880657995573,0.41956391989334,3100205,NA
544,145871,503.6427,NA,NA,Hillsborough River at US 301 bridge,6,538,1004.1556992,911.666495636607,1.99378587081675,1.81014535828,0.0966281285262234,0.135623305727575,0.00657063660552502,0.03125,8.68982583487112e-06,1,0.0969471557078708,1,41.2875,-1.07537847852944,1.10145069935778,0.341168605870151,28.1502778,-82.2211111,0,-2.09694631165555,-3.40419762213415,-1.18264871016511,-2.75236967700343,0.00059412410803465,-0.0126375480077158,0.0130952623765303,0.0748250691648634,-0.182828384803033,-0.0117436551916483,-0.00933610801034193,0.499791471792276,3100205,NA
557,145941,538.2702,NA,NA,HILLSBOROUGH RIVER NEAR ZEPHYRHILLS FL,7,538,786.73650928,1167.66054523231,1.46160145830105,2.16928328046455,-0.394864103671809,-0.552766092865904,0.00135524239231414,0.03125,2.96183394538166e-05,1,-0.395131944230485,1,34.6275,-1.35992338406732,0.673771596113557,0.256680442011684,28.15001267,-82.23230876,0,0,-2.59711494774119,0,-0.0201452101579616,0.000575304665180798,0.00734849482984384,-0.00291236787597967,0.0422635845210653,-0.136219578027925,-0.0211961116480116,-0.0266827618594508,0.178301135514369,3100205,NA
601,145889,948.6135,NA,NA,HILLSBOROUGH R AT MORRIS BR NEAR THONOTOSASSA FL,8,977,935.12232398,3210.45581749011,0.985778005457439,3.38436657025239,-1.23349085674366,-1.72978435414094,0.0048548113132151,0.03125,0.00104265781136966,1,-1.23649598586539,1,410.3433,-1.71074095592578,0.291274005044886,0.180731828673129,28.09751561,-82.3123123,0,0,-9.47572883578864,-6.16385405597903,-12.2337249735168,-0.0103474999671952,-0.0652457485370006,0.0261916795381026,0.234184761924203,-0.48873655918985,-0.112105374699335,-0.0241883333640589,1.28246642353861,3100205,NA
744,146079,48.393,NA,NA,Delaney Creek at US 41,9,49,225.8205064,57.3509317818157,4.66638783295105,1.18510800698067,1.37055137351512,1.94641478029613,0.0296724586110169,0.03125,0.00827518908913717,0.999999999999938,1.39134919153577,1,48.393,1.37070729926586,3.93752114192504,3.93813515073377,27.915,-82.4022222,0,0,-4.49226628559656,0,-9.74469930881929,-0.0879899058628841,-0.0975103344178927,0.104954370721739,-0.272404251798001,-0.48873655918985,0.0527872899026591,0.0240115211574671,0.76600332687421,3100206,NA
888,145585,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,10,310,12520.458944,26639.4974749983,40.3621465427478,85.8776268282329,-0.755030960074041,-1.07376925251422,0.0323771831450591,0.03125,0.00275566774652957,1,-0.767558896749816,1,310.203,-0.755409568777655,0.469996063392363,0.469818152473535,27.8839148,-82.10008689,-0.898883821299619,0.787981051609707,-0.486572585552549,-6.16398944793211,1.26429397244364,-3.8095114625374e-05,-0.0397341821857475,-0.0318224114030023,0.103950005177528,-0.150253669416604,-0.0103016093242373,-0.0184975213255482,1.08633340578779,3100204,NA
