,FacWW_P,FacPmine,ManureP_Seas,FertP_Seas,Pmines_v17,GeolP,urban_Seas,logAirTemp,logPPT,PrevSurfSoMoi,PrevET,PrevEVIMean,lkfactup,rchtot
FacWW_P,1,0.0223801998580648,-0.00119250966563661,0.231560600484443,-0.331827367191993,0.412346925062955,0.0222384390711402,0.0541657037443958,0.0170662161779403,-0.0785023257821078,0.163129036445142,0.115390522359631,-0.0105662239420358,0.408734665259685
FacPmine,0.0223801998580648,1,0.000269969669692026,0.0406484854317135,0.0584740828459585,-0.0412439455376331,0.0227926082528455,-0.0234841735439299,0.002322820794183,-0.00114694378712298,-0.0397718872232024,-0.000813883534820299,0.00812368437961479,0.0602992445124994
ManureP_Seas,-0.00119250966563661,0.000269969669692026,1,-0.00297888375115464,-0.00665168544877226,0.00403970268055278,-0.00239532239407783,0.00162870005775272,0.000669733768747623,0.000197979897256094,0.00304293246775094,0.00068722992056751,-0.00115859431050431,-0.00398257216942877
FertP_Seas,0.231560600484443,0.0406484854317135,-0.00297888375115464,1,-0.934682549871496,0.454991519499178,0.0755903489426506,0.160472051512483,0.17293722839877,0.3163241859221,0.322170264131286,-0.073624293977864,0.504804088264378,0.611678142629611
Pmines_v17,-0.331827367191993,0.0584740828459585,-0.00665168544877226,-0.934682549871496,1,2.1306236144231,-0.932287626939537,0.7287443382449,0.0239643366400484,0.113743142430664,1.13203083607551,-0.222521153241986,-1.3939618162865,-0.766073312393017
GeolP,0.412346925062955,-0.0412439455376331,0.00403970268055278,0.454991519499178,2.1306236144231,1,-0.196192806956563,0.00677000284629277,-0.284679261575295,-0.048239938575081,-0.210031676599954,-0.664315659005844,-0.178989471734077,1.11415902857049
urban_Seas,0.0222384390711402,0.0227926082528455,-0.00239532239407783,0.0755903489426506,-0.932287626939537,-0.196192806956563,1,0.0636861205396475,0.0187384117489512,-0.39731649601853,0.715238474056226,0.120598870249418,0.297386761893714,0.0964934121541347
logAirTemp,0.0541657037443958,-0.0234841735439299,0.00162870005775272,0.160472051512483,0.7287443382449,0.00677000284629277,0.0636861205396475,1,-0.73716424939377,-0.0236731601889088,-0.144351354826667,-0.323768584507561,-0.0370103172312991,0.170364166842253
logPPT,0.0170662161779403,0.002322820794183,0.000669733768747623,0.17293722839877,0.0239643366400484,-0.284679261575295,0.0187384117489512,-0.73716424939377,1,0.34786073917486,0.0201246066058103,-0.0192830911009213,0.0509241775273827,0.0932340733178288
PrevSurfSoMoi,-0.0785023257821078,-0.00114694378712298,0.000197979897256094,0.3163241859221,0.113743142430664,-0.048239938575081,-0.39731649601853,-0.0236731601889088,0.34786073917486,1,0.0998022944474573,-0.329013073140922,0.0471333774887291,-0.173689757926159
PrevET,0.163129036445142,-0.0397718872232024,0.00304293246775094,0.322170264131286,1.13203083607551,-0.210031676599954,0.715238474056226,-0.144351354826667,0.0201246066058103,0.0998022944474573,1,-0.740900353691782,0.0452533413988626,0.500599338429547
PrevEVIMean,0.115390522359631,-0.000813883534820299,0.00068722992056751,-0.073624293977864,-0.222521153241986,-0.664315659005844,0.120598870249418,-0.323768584507561,-0.0192830911009213,-0.329013073140922,-0.740900353691782,1,0.111207525114243,0.347798229887009
lkfactup,-0.0105662239420358,0.00812368437961479,-0.00115859431050431,0.504804088264378,-1.3939618162865,-0.178989471734077,0.297386761893714,-0.0370103172312991,0.0509241775273827,0.0471333774887291,0.0452533413988626,0.111207525114243,1,0.241437470742246
rchtot,0.408734665259685,0.0602992445124994,-0.00398257216942877,0.611678142629611,-0.766073312393017,1.11415902857049,0.0964934121541347,0.170364166842253,0.0932340733178288,-0.173689757926159,0.500599338429547,0.347798229887009,0.241437470742246,1
