PARAMETER,ESTIMATE,PARM TYPE,EST TYPE,INITIAL VALUE,MIN,MAX,DESCRIPTION,PARAMETER UNITS
FacWW_P,0.924099752875704,SOURCE,Estimated,3,0,10000,Municipal/industrial point source,fraction,dimensionless
FacPmine,0.0114411078229652,SOURCE,Estimated,1,0,10000,FacPmine,
ManureP_Seas,0,SOURCE,Fixed,1,0,10000,Livestock manure N,
FertP_Seas,0.0603864652795581,SOURCE,Estimated,0.1,0,10000,Fertilizer N use,
Pmines_v17,0.0124236189659667,SOURCE,Estimated,0.05,0,10000,Pmines_v17,
GeolP,0.00691940330582679,SOURCE,Estimated,0.05,0,10000,GeolP,
urban_Seas,7.37245848170759,SOURCE,Estimated,40,0,10000,Urban lands,kg/km2/year
logAirTemp,-1.17346780656276,DELIVF,Estimated,-1,-10000,10000,logAirTemp,
logPPT,1.45651698504838,DELIVF,Estimated,1,-10000,10000,logppt,
PrevSurfSoMoi,0.451240750059965,DELIVF,Estimated,0.4,-10000,10000,PrevSurfSoMoi,
PrevET,-0.312206567094142,DELIVF,Estimated,-0.3,-10000,10000,PrevET,
PrevEVIMean,4.49922973143724,DELIVF,Estimated,4,-10000,10000,PrevEVIMean,
lkfactup,1.5876834788648,DELIVF,Estimated,2,-10000,10000,lkfactup,
rchtot,0.237721048783327,STRM,Estimated,0.8,0,10000,contrchdecay_RRLite,
