Prediction Metric Name,Units
waterid,Reach ID Number
pload_total,kg/year
pload_FacWW_P,kg/year
pload_FacPmine,kg/year
pload_ManureP_Seas,kg/year
pload_FertP_Seas,kg/year
pload_Pmines_v17,kg/year
pload_GeolP,kg/year
pload_urban_Seas,kg/year
pload_nd_total,kg/year
pload_nd_FacWW_P,kg/year
pload_nd_FacPmine,kg/year
pload_nd_ManureP_Seas,kg/year
pload_nd_FertP_Seas,kg/year
pload_nd_Pmines_v17,kg/year
pload_nd_GeolP,kg/year
pload_nd_urban_Seas,kg/year
pload_inc,kg/year
pload_inc_FacWW_P,kg/year
pload_inc_FacPmine,kg/year
pload_inc_ManureP_Seas,kg/year
pload_inc_FertP_Seas,kg/year
pload_inc_Pmines_v17,kg/year
pload_inc_GeolP,kg/year
pload_inc_urban_Seas,kg/year
pload_inc_deliv,kg/year
pload_inc_FacWW_P_deliv,kg/year
pload_inc_FacPmine_deliv,kg/year
pload_inc_ManureP_Seas_deliv,kg/year
pload_inc_FertP_Seas_deliv,kg/year
pload_inc_Pmines_v17_deliv,kg/year
pload_inc_GeolP_deliv,kg/year
pload_inc_urban_Seas_deliv,kg/year
share_total_FacWW_P,Percent
share_total_FacPmine,Percent
share_total_ManureP_Seas,Percent
share_total_FertP_Seas,Percent
share_total_Pmines_v17,Percent
share_total_GeolP,Percent
share_total_urban_Seas,Percent
share_inc_FacWW_P,Percent
share_inc_FacPmine,Percent
share_inc_ManureP_Seas,Percent
share_inc_FertP_Seas,Percent
share_inc_Pmines_v17,Percent
share_inc_GeolP,Percent
share_inc_urban_Seas,Percent
